0.105319, -0.00357972
0.20501, -0.0202732
0.313566, -0.0552919
0.413397, -0.105555
0.499553, -0.166415
0.579772, -0.243164
0.649238, -0.333995
0.698025, -0.422175
0.734928, -0.518641
0.758187, -0.621657
0.766278, -0.725714
0.759465, -0.829397
0.737948, -0.931102
0.701847, -1.02944
0.652362, -1.121
0.589706, -1.20532
0.515201, -1.28006
0.428065, -1.34496
0.333556, -1.39556
0.230297, -1.43242
0.122972, -1.45331
0.0125573, -1.45787
-0.0970378, -1.44571
-0.203792, -1.41706
-0.304525, -1.3728
-0.398275, -1.31327
-0.481938, -1.24011
-0.554425, -1.1538
-0.611657, -1.05938
-0.654592, -0.955527
-0.680858, -0.847298
-0.690317, -0.735982
-0.682854, -0.626191
-0.658189, -0.516241
-0.617925, -0.413697
-0.561853, -0.317212
-0.492118, -0.230888
-0.409322, -0.155566
-0.318085, -0.0950449
-0.216261, -0.0478999
-0.109713, -0.0172502
0.00190362, -0.00302926
0.114457, -0.0061826
0.227232, -0.0271736
0.333603, -0.0648836
0.434731, -0.119752
0.525662, -0.189612
0.604106, -0.27241
0.668562, -0.366286
0.718363, -0.471
0.750964, -0.582542
0.765373, -0.697357
0.76137, -0.813403
0.738984, -0.92728
0.698938, -1.03582
0.642158, -1.13672
0.569856, -1.22761
0.484841, -1.30519
0.388658, -1.36841
0.282866, -1.416
0.169657, -1.44642
0.0518497, -1.45832
-0.067473, -1.45081
-0.183137, -1.42413
-0.276416, -1.38718
-0.379724, -1.32687
-0.457834, -1.26377
-0.526485, -1.19055
-0.593813, -1.09264
-0.644283, -0.985171
-0.672807, -0.889145
-0.689197, -0.77088
-0.687861, -0.670427
-0.668489, -0.553429
-0.630664, -0.44181
-0.57578, -0.338487
-0.516173, -0.257961
-0.433986, -0.175933
-0.338704, -0.107329
-0.234759, -0.0554028
-0.122394, -0.0203173
-0.00877496, -0.00401661
0.108103, -0.00595102
0.221999, -0.0262738
0.328167, -0.0609614
0.431606, -0.0978533
2.68725, 0
2.58499, 0
2.48365, 0
2.3815, 0
2.48379, 0
2.5841, 0
2.68557, 0
2.78823, 0
2.89151, 0
2.99749, 0
3.09835, 0
3.20011, 0
3.30274, 0
3.40422, 0
