0.503628, 0
1.00835, 0
1.51335, 0
2.01835, 0
2.52335, 0
3.02746, -0.0156053
3.52517, -0.0741335
4.02152, -0.145461
4.52269, -0.121399
5.02596, -0.0918506
5.53023, -0.0711149
6.03174, -0.102296
6.53438, -0.0989497
7.03932, -0.095588
7.54431, -0.092226
8.0493, -0.088864
8.54936, -0.0855347
9.03555, 0.0351368
9.41312, 0.370139
9.59097, 0.837682
9.66202, 1.33766
9.73305, 1.83764
9.75044, 2.34202
9.75836, 2.84196
9.76627, 3.34189
9.77419, 3.84183
9.78211, 4.34177
9.79002, 4.84171
9.79794, 5.34164
9.80586, 5.84158
9.75935, 6.34393
9.69941, 6.84536
9.63946, 7.34679
9.50014, 7.82791
9.1577, 8.19246
8.68571, 8.35839
8.18492, 8.42348
7.68413, 8.48856
7.1813, 8.53061
6.67674, 8.55178
6.17219, 8.57294
5.66758, 8.5901
5.16333, 8.56254
4.66137, 8.58458
4.16077, 8.62821
3.66634, 8.7074
3.16941, 8.77619
2.66444, 8.78206
2.15948, 8.78794
1.65951, 8.79375
1.15955, 8.79956
0.659579, 8.80538
0.154614, 8.81125
-0.350352, 8.81712
-0.855318, 8.82299
-1.35528, 8.82881
-1.85922, 8.8109
-2.3619, 8.76664
-2.86183, 8.75821
-3.36176, 8.74977
-3.86168, 8.74133
-4.36161, 8.73289
-4.86154, 8.72445
-5.36147, 8.71601
-5.8614, 8.70758
-6.36133, 8.69914
-6.86126, 8.6907
-7.36119, 8.68226
-7.86111, 8.67382
-8.36604, 8.6653
-8.87097, 8.65678
-9.3759, 8.64825
-9.88083, 8.63973
-10.3858, 8.63121
-10.8907, 8.62268
-11.3956, 8.61416
-11.9005, 8.60564
-12.4055, 8.5971
-12.8903, 8.47412
-13.2637, 8.1413
-13.4412, 7.67371
-13.5113, 7.17523
-13.6156, 6.68303
-13.6538, 6.17988
-13.6738, 5.67527
-13.6937, 5.17067
-13.7137, 4.66606
-13.7336, 4.16146
-13.7536, 3.65685
-13.7733, 3.15724
-13.7931, 2.65763
-13.8128, 2.15802
-13.8328, 1.65342
-13.8527, 1.14881
-13.8451, 0.645214
-13.6369, 0.190442
-13.2422, -0.116852
-12.7509, -0.220111
-12.2473, -0.239423
-11.7481, -0.21138
-11.2489, -0.183337
-10.7497, -0.155294
-10.2505, -0.127251
-9.75128, -0.099208
-9.25207, -0.071165
-8.74777, -0.0456679
-8.24444, -0.0817394
-7.74447, -0.0869382
-7.2395, -0.0921891
-6.73453, -0.09744
-6.22955, -0.102691
-5.72458, -0.107942
-5.21961, -0.113193
-4.71464, -0.118443
-4.20966, -0.123694
-3.70469, -0.128945
-3.20472, -0.134144
-2.70474, -0.139343
-2.20477, -0.144542
-1.7048, -0.149741
-1.20482, -0.154939
-0.704852, -0.160138
-0.204879, -0.165337
