
0.503628, 0
1.00835, 0
1.51, 0
2.01452, 0
2.51948, 0
3.02448, 0
3.52948, 0
4.03448, 0
4.53948, 0
5.04448, 0
5.54948, 0
6.05448, 0
6.55948, 0
7.06448, 0
7.56948, 0
8.06948, 0
8.57104, 0.011783
9.03704, 0.20393
9.35847, 0.587133
9.4667, 1.07545
9.45903, 1.57588
9.42655, 2.07843
9.3839, 2.58161
9.43267, 3.08226
9.45076, 3.58523
9.43205, 4.08989
9.41334, 4.59454
9.39463, 5.09919
9.37592, 5.60385
9.35721, 6.1085
9.3385, 6.61315
9.31979, 7.11781
9.27474, 7.61951
9.03443, 8.05817
8.61876, 8.33635
8.1338, 8.47696
7.63168, 8.51944
7.13205, 8.5386
6.63241, 8.55777
6.13278, 8.57693
5.63315, 8.5961
5.13352, 8.61527
4.63388, 8.63443
4.13425, 8.6536
3.63462, 8.67277
3.13499, 8.69193
2.63535, 8.7111
2.13572, 8.73026
1.63609, 8.74943
1.13646, 8.7686
0.636824, 8.78776
0.137191, 8.80693
-0.362441, 8.82609
-0.862074, 8.84526
-1.36171, 8.86443
-1.86134, 8.88359
-2.36097, 8.90276
-2.8606, 8.92192
-3.36024, 8.94109
-3.85987, 8.96026
-4.3595, 8.97942
-4.85913, 8.99859
-5.35877, 9.01776
-5.8584, 9.03692
-6.35803, 9.05609
-6.8627, 9.07143
-7.35506, 8.9658
-7.8589, 8.97136
-8.35989, 8.90904
-8.85537, 8.84199
-9.35086, 8.77495
-9.84634, 8.70791
-10.3418, 8.64087
-10.8373, 8.57382
-11.3328, 8.50678
-11.8283, 8.43974
-12.3238, 8.3727
-12.8228, 8.29688
-13.262, 8.0576
-13.5411, 7.64258
-13.6702, 7.15452
-13.7314, 6.6543
-13.7351, 6.1509
-13.6662, 5.65062
-13.6443, 5.14628
-13.6289, 4.64152
-13.6134, 4.13675
-13.5982, 3.63699
-13.5829, 3.13722
-13.5676, 2.63746
-13.5523, 2.13769
-13.537, 1.63792
-13.5216, 1.13316
-13.506, 0.6284
-13.3673, 0.147836
-13.0225, -0.214444
-12.5493, -0.376613
-12.0446, -0.369388
-11.5448, -0.354689
-11.045, -0.33999
-10.5453, -0.325291
-10.0455, -0.310592
-9.54569, -0.295893
-9.0459, -0.281194
-8.54612, -0.266496
-8.04634, -0.251797
-7.54155, -0.236951
-7.03677, -0.222105
-6.53199, -0.207259
-6.02721, -0.192413
-5.52243, -0.177568
-5.01764, -0.162722
-4.51286, -0.147876
-4.00808, -0.13303
-3.5083, -0.118331
-3.00851, -0.103632
-2.50873, -0.0889334
-2.00895, -0.0742346
-1.50916, -0.0595357
-1.00938, -0.0448368
-0.504596, -0.029991
-0.0048123, -0.0152921
0.494972, -0.000593279
0.999753, 0.0142526
1.49954, 0.0289514
1.99932, 0.0436503
2.49911, 0.0583491
2.99889, 0.073048
3.49867, 0.0877469
3.99846, 0.102446
4.50324, 0.117292
